experiment_id,throughput (ops/sec),parameter-MongoDB.mongodb_cache_size (megabytes),parameter-MongoDB.mongodb_eviction_dirty_target (percent),parameter-MongoDB.mongodb_eviction_dirty_trigger (percent),parameter-MongoDB.mongodb_syncdelay (seconds),parameter-OS.os_CPUSchedAutogroupEnabled,parameter-OS.os_CPUSchedChildRunsFirst,parameter-OS.os_CPUSchedLatency (nanoseconds),parameter-OS.os_CPUSchedMigrationCost (nanoseconds),parameter-OS.os_cpuSchedMinGranularity (nanoseconds),parameter-OS.os_CPUSchedNrMigrate,parameter-OS.os_cpuSchedWakeupGranularity (nanoseconds),parameter-OS.os_MemorySwap,parameter-OS.os_MemorySwappiness (percent),parameter-OS.os_MemoryTransparentHugepageDefrag,parameter-OS.os_MemoryTransparentHugepageEnabled,parameter-OS.os_MemoryVmDirtyBackgroundRatio (percent),parameter-OS.os_MemoryVmDirtyExpire (centiseconds),parameter-OS.os_MemoryVmDirtyRatio (percent),parameter-OS.os_MemoryVmDirtyWriteback (centiseconds),parameter-OS.os_MemoryVmMinFree (kilobytes),parameter-OS.os_MemoryVmVfsCachePressure (percent),parameter-OS.os_NetworkNetCoreNetdevBudget (packets),parameter-OS.os_NetworkNetCoreNetdevMaxBacklog (packets),parameter-OS.os_NetworkNetCoreRmemMax (bytes),parameter-OS.os_NetworkNetCoreSomaxconn (connections),parameter-OS.os_NetworkNetCoreWmemMax (bytes),parameter-OS.os_NetworkNetIpv4TcpFinTimeout (seconds),parameter-OS.os_NetworkNetIpv4TcpMaxSynBacklog (packets),parameter-OS.os_NetworkNetIpv4TcpSlowStartAfterIdle,parameter-OS.os_NetworkRfs,parameter-OS.os_StorageMaxSectorsKb (kilobytes),parameter-OS.os_StorageNomerges,parameter-OS.os_StorageNrRequests (requests),parameter-OS.os_StorageQueueScheduler,parameter-OS.os_StorageReadAhead (kilobytes),parameter-OS.os_StorageRqAffinity
1,2247.10375531147,14848,5,20,60,1,0,12000000,500000,1500000,32,2000000,swapon,1,never,never,10,3000,20,500,67584,100,300,1000,212992,128,212992,60,1024,1,0,128,0,12,noop,0,1
2,7199.85023577916,23165,69,38,285,0,1,180600000,3775000,7725000,82,30100000,swapoff,75,never,always,26,7725,75,3763,770560,33,2258,2575,1602765,309,548454,452,3853,0,98304,56,1,329,cfq,3,1
3,5408.61606107439,8055,26,73,135,1,0,61800000,1325000,22575000,241,10300000,swapon,25,always,never,75,22575,26,1288,263680,78,773,7525,548454,903,1602765,155,1319,1,32768,104,2,963,deadline,8,2
4,6204.44890686035,19388,79,29,248,1,0,32100000,4387500,26287500,280,35050000,swapoff,38,always,always,87,11438,87,3144,390400,21,2629,8763,284877,458,812032,526,1953,0,16384,92,1,805,deadline,9,1
5,4991.04040848125,4278,37,64,98,0,1,150900000,1937500,11437500,122,15250000,swapon,88,never,never,38,26288,38,669,897280,66,1144,3813,1339187,1052,1866342,229,4487,1,81920,44,2,171,noop,4,2
6,5614.82726842707,11833,16,46,173,1,1,210300000,712500,18862500,201,5350000,swapoff,63,never,always,62,4013,13,1906,643840,44,401,6288,1866342,161,284877,80,3220,0,114688,116,0,1122,deadline,6,1
7,4167.7289276123,26943,58,81,323,0,0,91500000,3162500,4012500,43,25150000,swapon,13,always,never,13,18863,62,4381,136960,89,1886,1338,812032,755,1339187,377,686,1,49152,68,1,488,cfq,1,2
8,5208.6146960932,9944,85,42,191,0,1,165750000,4693750,28143750,142,37525000,swapon,81,always,never,93,5869,93,2834,580480,83,2072,4431,680243,383,943821,43,1002,0,122880,122,1,1201,noop,8,2
9,7270.27711356027,25054,42,77,341,1,0,46950000,2243750,13293750,300,17725000,swapoff,31,never,always,44,20719,44,359,73600,38,587,9381,1734554,977,1998131,340,3536,1,57344,74,2,567,deadline,3,1
10,6455.73457595537,17499,21,24,266,0,0,106350000,1018750,20718750,62,7825000,swapon,6,never,never,68,13294,19,1597,327040,61,1329,1956,1207398,86,416665,489,4803,0,24576,98,0,884,cfq,6,2
11,8752.11824237176,30720,10,90,360,1,0,2400000,100000,14826410,320,23044604,swapoff,0,never,always,19,30000,29,50,10240,55,30,10000,1312047,1200,2129920,253,4831,1,0,32,2,12,deadline,2,1
12,3678.39998986586,19127,19,90,269,1,1,174153470,100000,8118734,254,38484444,swapoff,2,always,always,1,30000,48,3566,21393,86,1854,3688,138748,962,2082473,17,2300,1,0,66,1,648,noop,0,1
13,5064.57757263184,500,60,26,351,1,0,135142306,180572,988188,160,18809696,swapon,24,always,always,86,29893,5,3423,761273,27,2006,1137,1641115,594,926311,193,5120,1,30661,32,1,461,deadline,8,1
14,4730.64338732066,30720,52,76,360,1,0,2400000,607299,300000,320,40000000,swapoff,0,never,always,1,30000,50,50,10240,10,50,10000,2129920,1200,2129920,600,5120,1,29177,32,1,12,deadline,0,1
15,8634.04666003341,24775,41,39,360,1,0,158621840,3789341,16900133,264,11736517,swapon,32,never,always,46,13307,3,4658,104787,54,30,5588,1465443,597,1971456,482,3975,1,75304,32,2,1211,deadline,6,1
16,4974.43773646325,30167,5,90,359,1,0,2400000,100000,300000,320,40000000,swapoff,38,never,always,1,30000,62,50,10240,66,2525,10000,21299,833,2129920,6,3834,1,6622,60,2,12,deadline,1,1
17,6611.70696065396,21121,19,54,360,1,0,181484903,3507715,797644,286,36204153,swapoff,0,never,always,95,17765,53,1344,1024000,47,3000,8091,2129920,585,260096,184,189,0,89597,115,0,943,cfq,3,1
18,2635.56645492361,10362,11,90,247,0,1,2400000,100000,2509586,219,18622507,swapoff,41,never,always,1,30000,99,50,851902,62,30,10000,228859,1200,879533,26,2524,1,39700,43,1,12,deadline,0,2
19,6391.84149899273,12929,5,90,360,0,1,140514534,2321101,300000,3,400000,swapoff,0,never,always,1,7710,73,4214,936944,10,1559,4049,1673630,1033,1733993,600,5120,0,47368,32,2,12,cfq,3,1
20,6062.25032398536,10500,5,90,360,0,0,2400000,100000,23832393,139,400000,swapon,20,always,never,65,30000,7,50,822139,96,1247,2478,974541,983,553799,6,5120,1,0,32,2,12,cfq,8,2
21,4501.52137919492,30720,39,77,360,1,1,18516956,577397,20569493,320,27241085,swapoff,0,never,always,39,30000,41,1755,389996,69,860,5925,1131408,882,1805850,82,4686,1,34051,50,2,28,deadline,1,1
22,2746.61446778879,12344,5,90,274,1,0,173838259,2632243,17607441,138,36139487,swapoff,89,never,never,48,30000,96,50,192380,64,2973,3977,1416410,759,2129243,25,2342,1,3288,32,2,410,cfq,1,2
23,4945.91268105833,30720,5,90,360,1,0,2400000,100000,13078301,320,34095007,swapoff,0,always,always,1,30000,50,50,10240,74,30,10000,1156886,1200,2129920,16,5120,1,0,32,2,12,deadline,0,1
24,4897.08554518598,30720,5,90,214,1,0,2400000,100000,17093700,306,34797170,swapoff,0,never,always,1,30000,76,50,10240,66,30,10000,370094,1200,2129920,6,5120,1,0,55,2,12,cfq,0,2
25,8092.48738606771,28160,6,84,359,1,0,36223302,1163477,22141615,307,10591169,swapoff,11,never,always,41,24580,18,783,29277,67,30,9149,1226267,1073,2070155,178,4309,1,16851,43,2,363,deadline,4,1
26,8287.744266534,20278,75,20,360,1,0,240000000,5000000,8970893,213,7477488,swapon,58,never,always,60,300,1,5000,191484,47,30,1437,1658459,45,1845970,600,3445,1,131072,32,2,1280,deadline,9,1
27,5005.49181361168,30720,5,90,359,1,0,2400000,100000,12922701,320,38891815,swapoff,0,never,always,1,30000,55,50,10240,55,30,10000,1172089,1200,2129920,13,5120,1,0,32,2,12,noop,0,1
28,7232.34216601294,25096,67,85,169,0,0,54957694,4351426,385304,214,7135506,swapoff,34,never,never,20,25203,35,512,10501,63,188,1164,430376,703,695797,91,310,1,124302,107,1,574,deadline,3,1
29,7654.60683685879,29531,6,31,100,0,1,64280284,1877730,13239453,49,38741090,swapoff,43,never,always,3,13653,42,3406,304014,63,2936,9740,1970086,271,1835980,593,4678,0,15028,86,2,349,cfq,5,1
30,6710.31066472275,18609,39,25,176,1,1,150369433,3560711,23991782,202,33168874,swapon,16,never,always,74,23302,84,1165,111975,73,1364,2960,1048752,961,912545,548,645,0,51930,124,1,839,cfq,5,2
31,7495.96291058618,27488,82,63,331,0,0,10470126,4971449,4670084,140,28919885,swapoff,42,never,always,9,19229,59,949,10240,42,3000,569,778535,207,632537,27,450,0,54860,93,2,210,noop,2,1
32,5287.61508293872,14353,32,28,136,1,1,137929992,3417988,6990862,311,11005435,swapoff,97,never,never,76,24827,98,2012,10240,34,3000,2463,1975847,654,1870668,394,3270,0,44013,64,1,579,noop,9,1
33,9020.69312905366,26298,81,50,103,0,1,10475844,3004589,25429473,175,28933793,swapon,4,never,always,28,13481,5,4338,1024000,72,1896,6370,1479469,974,1990458,259,4200,0,127149,92,2,80,cfq,6,2
34,9688.59372850334,30720,5,90,333,1,0,6674383,100000,14781734,261,22133669,swapoff,0,never,always,1,30000,1,1143,72128,96,30,5374,66342,933,1995594,96,5120,1,0,32,2,12,deadline,3,1
35,4583.33270609154,29794,8,68,151,0,1,173899022,3157838,8890391,224,20028821,swapoff,49,never,never,38,10341,1,2730,1024000,34,30,5631,896858,754,270756,408,2122,0,90293,51,0,289,cfq,1,1
36,9669.65597361439,30720,5,90,294,1,0,2400000,100000,6309566,178,30339713,swapoff,0,never,always,1,30000,1,50,137681,100,30,100,21299,614,1783835,6,5120,1,0,32,2,12,deadline,4,1
37,6738.25281913325,2905,87,56,147,0,1,103790524,2586802,27917670,219,35936861,swapoff,43,never,always,1,22566,1,1802,1024000,11,30,1893,905262,757,1357623,131,3689,0,119968,48,2,335,deadline,9,2
38,8307.98111364976,21640,83,42,119,1,1,15940507,2269373,11218732,205,17271479,swapoff,25,never,never,78,11426,2,3334,378868,57,2782,5735,1024746,56,639201,530,3670,0,97383,122,2,218,cfq,6,1
39,9372.65134261989,27490,79,61,84,0,0,210326789,3200087,4793113,151,28845821,swapoff,86,never,always,99,14602,1,4831,1024000,39,715,5613,1902342,721,846583,334,2885,0,131072,120,2,585,cfq,7,2
40,9118.80816995873,29967,71,24,149,0,0,100983671,3609465,15365516,60,25534545,swapoff,30,never,always,1,24474,1,2236,74953,67,30,4649,155041,570,169290,137,305,1,13698,66,2,569,deadline,5,1
41,9600.17546801297,30720,90,90,296,0,0,41058289,1026454,300000,237,25855060,swapon,0,never,always,1,300,1,4192,465863,60,30,100,2129920,12,2129920,600,5120,1,131072,32,2,12,cfq,6,2
42,9664.48062843947,30720,85,49,224,1,1,136023435,4520609,19711455,73,400000,swapon,89,never,never,88,28082,1,658,473859,81,2412,8531,2099629,157,809800,60,129,1,100930,101,2,1002,noop,7,1
43,9037.95972677747,30720,90,90,60,0,1,2400000,2564295,30000000,195,40000000,swapon,59,always,never,1,30000,1,50,1024000,18,3000,10000,21299,1200,21299,216,837,0,131072,128,2,12,deadline,10,2
44,8972.06376647949,30720,90,20,60,1,1,211477573,5000000,3212300,156,40000000,swapoff,57,always,always,99,30000,1,4648,605531,64,1336,9161,511579,1079,1153687,447,2253,1,131072,46,2,363,noop,6,1
45,9271.39373280267,30720,90,90,255,0,1,124088405,1954585,6727799,222,40000000,swapon,80,never,always,1,14606,1,1233,582743,44,1481,9928,48641,148,1780586,21,5026,1,131072,60,2,285,deadline,7,1
46,9480.92512867286,30720,56,90,217,0,1,2400000,100000,20853766,272,32370351,swapoff,9,always,never,81,22755,1,593,466084,85,1104,4480,1717837,904,1287802,517,3872,0,58575,41,1,1227,deadline,5,1
47,9017.01762726022,30720,90,20,236,1,0,165186256,3721252,19553666,208,400000,swapoff,15,never,never,99,1609,1,1490,609542,54,1118,9070,1766864,596,269220,348,3524,0,131072,128,1,1224,cfq,8,2
48,7700.28178281004,30720,5,20,154,1,0,225911739,3580185,27607706,3,400000,swapoff,15,never,always,99,18509,1,3645,439225,11,465,4507,962439,575,2129920,97,4479,0,0,128,2,834,noop,10,1
49,9366.4478076479,30720,5,90,340,1,0,2400000,100000,14296451,251,40000000,swapon,0,always,never,1,30000,1,1154,70778,97,32,5124,21299,943,2029636,96,5120,1,0,32,2,12,noop,3,1
50,9153.30751584611,30720,90,90,356,0,1,2400000,100000,25416312,293,400000,swapoff,0,never,never,6,6258,1,2214,1024000,100,107,100,1682476,374,754036,167,1879,0,131072,39,2,161,cfq,5,2
51,9669.57232704402,30720,73,82,351,0,1,144104742,4248504,4544785,90,400000,swapoff,26,never,always,7,17668,1,4903,639964,79,413,100,2027003,719,1277305,37,1850,1,0,52,2,168,noop,3,2
52,9033.39938677619,30720,90,90,60,0,1,2400000,5000000,30000000,3,4809008,swapon,0,never,never,99,30000,1,3048,1024000,100,3000,100,2129920,1200,1466050,537,52,0,0,128,2,332,cfq,6,2
53,8738.7197558009,30473,89,79,249,0,0,86760266,3178648,2719143,196,8315346,swapon,31,never,never,26,12289,18,4487,393179,83,1756,8069,1802163,1147,1223852,35,5024,0,127917,48,1,1171,cfq,2,1
54,9065.62174431296,30720,22,90,322,0,0,18468686,3810540,23550461,285,23372418,swapoff,79,never,always,88,30000,26,4970,317986,24,1686,8312,2129920,986,1981091,524,1024,0,131072,59,2,200,cfq,3,1
55,5152.46686011625,30720,76,90,360,0,0,77210278,100000,300000,320,40000000,swapoff,97,never,always,19,300,1,2913,1024000,100,30,100,2129920,143,1294717,465,5120,0,131072,32,2,1009,cfq,0,2
56,9763.8503140204,30720,5,90,360,0,0,101136234,100000,300000,221,400000,swapoff,0,never,always,32,300,1,5000,657820,10,30,100,2129920,12,1472292,600,5120,1,131072,32,2,1280,cfq,7,2
57,9991.03191476845,30720,90,58,60,0,0,152058701,5000000,300000,3,400000,swapoff,0,never,always,1,30000,1,5000,78025,17,30,100,2129920,705,658544,558,52,0,0,75,2,623,noop,3,2
58,9624.78900109936,30720,77,48,360,0,0,67738160,1327407,14039260,37,400000,swapoff,19,never,never,1,18137,1,3035,19703,95,1310,100,2129920,494,825299,280,3914,0,131072,125,1,1026,cfq,6,2
59,9701.61868469974,30720,57,90,91,0,1,153406969,1694376,9803850,176,400000,swapoff,3,never,always,3,300,19,4111,1010050,27,2214,1684,1899299,447,804021,597,3203,0,44875,85,1,628,noop,7,2
60,8363.59032247153,30349,70,55,228,1,0,120910470,669516,30000000,249,400000,swapon,8,never,always,76,8682,78,4601,1024000,44,3000,529,972763,534,1406476,600,2630,1,44497,57,2,848,cfq,8,2
61,9612.25722773204,30720,41,41,126,0,1,158804848,1659142,20437560,100,23394155,swapoff,0,always,always,1,24782,98,4747,574071,37,30,8318,1596268,179,21299,161,1076,1,67544,122,2,1112,noop,7,2
62,7481.27226620629,28606,87,31,83,0,0,129754294,4912712,7386643,87,30595501,swapoff,23,always,never,15,25334,33,646,553087,63,986,4727,154523,1071,830766,418,509,0,110678,61,1,855,cfq,5,1
63,8235.94380446763,30720,53,70,280,1,1,33640954,100000,20933813,146,400000,swapon,96,never,always,79,7276,91,794,475725,51,2295,7099,2129920,12,1563490,113,871,1,22919,52,1,669,deadline,6,2
64,8970.18303374382,30720,90,20,273,0,1,155235274,2414431,300000,204,28728653,swapoff,0,always,always,45,5084,1,3983,806149,14,1794,100,2129920,159,564097,600,1421,1,60148,86,0,1280,cfq,4,1
65,7487.16916390352,19432,51,82,122,0,1,168743227,100000,3113886,182,40000000,swapon,24,always,never,59,25603,1,3386,603921,92,2407,4509,727332,985,787176,121,1399,0,124353,122,0,17,deadline,10,2
66,7397.6375421954,30720,6,46,90,1,1,140425873,5000000,27393232,99,40000000,swapon,61,never,never,32,14141,1,3597,938380,66,2963,9386,1836420,745,1928866,521,2453,0,64712,95,2,141,noop,9,1
67,9882.93147603581,30720,90,56,60,0,0,159316506,100000,300000,3,400000,swapon,0,never,always,1,30000,1,5000,10240,10,30,100,2129920,689,636679,600,395,0,0,70,2,618,deadline,3,2
68,9423.35652064732,30720,72,90,145,1,1,91170582,2018284,27477312,30,400000,swapoff,100,never,never,1,5798,59,227,128505,36,2319,8916,2129920,12,1006148,439,4032,0,131072,42,0,1280,cfq,7,1
69,6643.38198414068,30720,80,20,301,1,0,2400000,1409785,28729124,55,400000,swapoff,0,never,always,93,18239,47,823,166683,35,579,5447,2054398,177,1679664,156,4336,0,0,90,1,336,deadline,7,2
70,9663.48980435458,30720,5,90,112,0,1,158435704,193676,18696667,320,400000,swapoff,0,never,always,1,300,1,5000,1024000,100,3000,100,2129920,704,21299,600,52,1,131072,109,2,1280,noop,7,2
71,9137.47103604403,30720,67,90,244,0,1,52132902,2528087,17130109,131,5659162,swapoff,7,never,never,18,17208,1,5000,425720,88,1500,100,991144,589,21299,21,137,0,41979,34,1,107,cfq,5,1
72,8077.86502872814,30720,66,90,313,0,1,57204065,228802,25085958,134,40000000,swapoff,10,always,always,78,300,99,5000,788756,23,2284,4290,1410624,12,262339,482,698,1,32889,127,2,1063,noop,7,1
73,9349.43011197177,30720,47,49,60,1,1,178940935,1414397,23127587,132,7269977,swapoff,68,always,never,1,5681,99,814,708978,45,1601,8003,1379260,636,704285,600,3329,0,120247,122,2,511,deadline,6,1
74,8609.70082924583,30720,23,46,296,1,0,62914198,4829718,5258472,109,10655669,swapoff,13,always,never,1,13212,99,1720,866970,26,1562,6793,752085,375,2029927,600,3577,0,24643,128,1,355,noop,8,1
75,8911.44206653942,30720,90,83,360,1,1,53341979,2256890,4909406,319,33866939,swapon,49,never,always,1,23728,60,2631,792686,18,386,6057,1976767,714,615504,600,3652,1,131072,32,2,1200,noop,10,2
76,8756.5318402377,30693,44,81,124,1,1,159265876,2270938,23564702,235,11644542,swapon,96,always,always,79,21193,95,1532,662847,24,1385,7127,1765577,1163,1773072,441,263,1,55264,75,0,645,cfq,10,2
77,6824.33807164972,30395,83,24,330,0,1,42080431,2787508,12021539,11,39336746,swapoff,50,never,never,81,19862,99,3633,344239,73,1343,6209,1272213,814,893541,121,3877,1,110882,87,1,1027,deadline,4,2
78,9937.17932683771,30720,79,59,60,0,0,157250623,5000000,473116,3,400000,swapoff,0,never,always,1,30000,1,5000,10240,10,30,470,2129920,777,686568,600,52,0,0,63,2,1280,cfq,3,2
79,9562.91933233088,30720,58,90,270,0,1,166117045,1098123,20815010,320,39881680,swapoff,44,always,always,1,22740,1,1505,728341,83,2137,8330,1808937,311,1099826,8,124,0,84733,85,1,12,noop,3,2
80,6671.0486328125,22995,29,36,176,1,1,181228279,1273865,6013265,105,590644,swapoff,39,never,always,6,2541,96,2230,429131,29,1530,7229,464561,508,82102,600,3600,1,122376,82,0,1225,noop,7,2
81,9016.28807206587,30720,90,20,60,0,0,125112578,5000000,495146,3,400000,swapoff,0,never,always,1,30000,1,5000,10240,13,30,546,2129920,708,834165,600,851,0,0,82,2,12,noop,3,2
82,9271.55261997768,30720,84,79,111,0,0,171778373,2703358,13862315,203,400000,swapoff,98,always,never,99,6151,1,2485,631530,73,2146,1741,1864865,627,668591,507,1766,0,70937,64,1,180,cfq,8,2
83,9381.2255748402,30720,40,56,242,1,0,169788000,4686010,28627036,196,400000,swapoff,72,never,always,1,26389,1,4468,1006473,15,938,5589,377071,594,420021,387,4161,0,65608,101,1,1106,cfq,7,2
84,9823.59627463601,30720,59,90,325,0,1,143904505,709074,16969944,109,12251307,swapoff,32,always,always,1,20188,46,4020,144387,95,1104,5099,2129920,101,1852004,369,3689,0,71021,45,2,722,deadline,8,2
85,9716.92658303001,30720,14,90,306,0,0,127608779,254064,300000,207,400000,swapon,0,always,never,42,2506,1,5000,658860,29,30,100,2129920,12,932031,600,3313,0,131072,44,2,1280,noop,7,2
86,9953.9171875,30720,82,61,231,0,0,42091699,2537824,16897031,177,40000000,swapoff,76,never,always,99,29706,1,1951,509965,24,1054,3980,1721392,920,1419473,433,2540,1,69581,83,1,182,cfq,3,2
87,7656.13294774836,30720,62,20,245,0,0,235247941,4423433,8522837,176,40000000,swapoff,99,always,always,11,27865,99,2672,244210,67,480,259,520400,12,307136,588,4687,1,7244,89,1,481,deadline,6,1
88,7345.68427831476,30720,5,51,77,1,1,68107264,1291993,20313476,96,40000000,swapoff,100,always,never,38,300,99,3952,191753,54,2306,9764,2129920,188,871009,573,4358,0,38713,118,0,983,cfq,7,1
89,9579.69660256126,30720,75,88,266,1,1,51675507,1007237,4286201,118,400000,swapoff,25,never,always,1,22553,78,1628,257665,49,2570,2462,2026051,539,1060665,54,2436,1,102904,72,2,684,noop,7,2
90,9035.2776827567,30720,21,56,197,1,0,158855423,1855874,27733464,266,27487740,swapoff,74,always,never,21,300,1,600,264642,99,2529,6904,2129920,966,76766,183,2494,0,33129,55,2,153,cfq,7,2
